"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
11,322,4,3,4,6,2,-4.30871,49,-508.252
12,322,4,3,4,6,2,-4.94604,49,-505.807
14,322,6,2,6,4,0,-3.77038,52,-548.166
15,322,4,2,4,4,2,-3.70134,52,-540.748
16,322,4,3,4,6,2,-4.31213,50,-515.028
18,322,5,1,5,2,1,-3.82825,54,-564.315
19,322,4,2,4,4,2,-4.62604,51,-528.83
3,323,4,2,4,4,2,-3.68746,53,-547.508
4,323,5,2,5,4,1,-3.70829,51,-535.099
12,323,5,2,5,4,1,-3.10386,52,-546.811
13,323,6,3,6,6,0,-3.8849,50,-524.606
14,323,5,3,5,6,1,-4.42459,52,-551.522
16,323,6,2,6,4,0,-3.70499,52,-548.623
18,323,5,3,5,6,1,-3.91644,50,-520.736
20,323,4,2,4,4,2,-3.75217,52,-541.212
1,324,4,3,4,6,2,-4.67063,48,-505.584
2,324,5,2,5,4,1,-3.78419,52,-551.781
5,324,5,2,5,4,1,-3.92578,51,-536.154
